model,backend,sample_count,agent_count,exp_count,meta_round_record_count,avg_survival_days,avg_final_hp,avg_final_budget,avg_total_bid,avg_daily_bid,avg_bid_variance,avg_max_bid,avg_min_bid,avg_error_count,avg_compile_success,avg_runtime_success,avg_strategy_complexity,avg_status_alive,total_death_count,mortality_rate
deepseek-v4-flash,deepseek,10,1,1,10,7.3,3.6,376.38952521008406,758.590474789916,75.8590474789916,1385.5153791897735,124.2675,47.18,0.1,1.0,0.9,213.9,0.6,4.0,40.0
gemini-2.5-flash,gemini,10,1,1,10,9.3,8.0,515.5491242307692,1266.6342724038461,126.6634272403846,756.1010801360435,163.3278903846154,96.0,0.0,1.0,1.0,376.5,0.9,1.0,10.0
gemini-3.1-flash-lite,gemini,10,1,1,10,6.3,2.5,73.10641776041666,417.09491006401987,41.70949100640199,549.9263554866789,65.29125,11.8,2.0,0.5,1.0,87.6,0.4,6.0,60.0
gpt-5.4,openai,10,1,1,10,7.1,2.3,92.65012307692307,694.1783557692308,69.41783557692307,1903.06441297624,125.39857692307692,21.71,0.0,1.0,1.0,621.8,0.5,5.0,50.0
gpt-5.4-nano,openai,10,1,1,10,5.6,1.7,113.0107,528.0719228568279,52.80719228568279,1715.0816579385369,110.73062999999999,9.65,0.1,1.0,0.9,427.9,0.3,7.0,70.0
