model,backend,sample_count,agent_count,exp_count,meta_round_record_count,avg_survival_days,avg_final_hp,avg_final_budget,avg_total_bid,avg_daily_bid,avg_bid_variance,avg_max_bid,avg_min_bid,avg_error_count,avg_compile_success,avg_runtime_success,avg_strategy_complexity,avg_status_alive,total_death_count,mortality_rate
deepseek-v4-flash,deepseek,10,1,1,10,7.5,3.5,411.991903521875,707.6628604364583,70.76628604364583,1142.3185650900787,119.81905897812501,39.3,0.4,0.9,1.0,212.0,0.6,4.0,40.0
gemini-2.5-flash,gemini,10,1,1,10,8.6,5.5,517.57878053125,1064.78048090625,106.478048090625,908.6367347530237,130.79526143750002,74.7,0.4,1.0,0.9,340.1,0.7,3.0,30.0
gemini-3.1-flash-lite,gemini,10,1,1,10,5.8,2.0,105.11362295078125,451.63266519379476,45.16326651937948,564.6319143069015,70.22419104921876,18.250685,1.6,0.6,1.0,105.3,0.4,6.0,60.0
gpt-5.4,openai,10,1,1,10,8.5,4.9,105.1552,929.6108036722119,92.96108036722119,1398.4276214601643,131.04850000000002,30.9,0.0,1.0,1.0,649.8,0.7,3.0,30.0
gpt-5.4-nano,openai,10,1,1,10,6.8,2.5,153.7918031428984,628.3353286071016,62.83353286071016,863.2536579669586,98.17491975,16.96752,0.5,1.0,0.8,446.1,0.4,6.0,60.0
