condition,experiment_id,meta_round,behavioral_distance,structural_similarity,valid_behavior_pairs,valid_structure_pairs,total_pairs
OF,exp_036,1,0.278087,0.28632,10,10,10
OF,exp_036,2,0.240956,0.268041,10,10,10
OF,exp_036,3,0.204907,0.272506,10,10,10
OF,exp_037,1,0.35002,0.308551,10,10,10
OF,exp_037,2,0.395727,0.308447,10,10,10
OF,exp_037,3,0.399435,0.308575,10,10,10
OF,exp_038,1,0.273114,0.291479,10,10,10
OF,exp_038,2,0.25931,0.3574,10,10,10
OF,exp_038,3,0.257856,0.355538,10,10,10
OF,exp_039,1,0.27724,0.282347,10,10,10
OF,exp_039,2,0.366301,0.270843,10,10,10
OF,exp_039,3,0.34963,0.323239,10,10,10
OF,exp_040,1,0.28952,0.301216,10,10,10
OF,exp_040,2,0.372471,0.336802,10,10,10
OF,exp_040,3,0.329292,0.314877,10,10,10
OF,exp_041,1,0.405008,0.344873,10,10,10
OF,exp_041,2,0.406967,0.348715,10,10,10
OF,exp_041,3,0.399991,0.330927,10,10,10
OF,exp_042,1,0.254653,0.339059,10,10,10
OF,exp_042,2,0.355229,0.349266,10,10,10
OF,exp_042,3,0.34716,0.334174,10,10,10
OF,exp_043,1,0.320014,0.350401,10,10,10
OF,exp_043,2,0.410757,0.367481,10,10,10
OF,exp_043,3,0.422098,0.362482,10,10,10
OF,exp_044,1,0.25979,0.31755,10,10,10
OF,exp_044,2,0.293285,0.314197,10,10,10
OF,exp_044,3,0.272093,0.310009,10,10,10
OF,exp_045,1,0.339874,0.305236,10,10,10
OF,exp_045,2,0.324078,0.299562,10,10,10
OF,exp_045,3,0.429011,0.296943,10,10,10
OF,exp_046,1,0.332503,0.30375,10,10,10
OF,exp_046,2,0.356899,0.306688,10,10,10
OF,exp_046,3,0.422037,0.321843,10,10,10
OF,exp_047,1,0.251638,0.325827,10,10,10
OF,exp_047,2,0.292339,0.323272,10,10,10
OF,exp_047,3,0.285528,0.326188,10,10,10
OF,exp_048,1,0.393544,0.310485,10,10,10
OF,exp_048,2,0.401272,0.32768,10,10,10
OF,exp_048,3,0.408062,0.335555,10,10,10
OF,exp_049,1,0.282726,0.273522,10,10,10
OF,exp_049,2,0.230762,0.36231,10,10,10
OF,exp_049,3,0.278288,0.366969,10,10,10
OF,exp_050,1,0.270989,0.315379,10,10,10
