condition,experiment_id,meta_round,behavioral_distance,structural_similarity,valid_behavior_pairs,valid_structure_pairs,total_pairs
OPF,exp_050,2,0.290456,0.391922,10,10,10
OPF,exp_050,3,0.217625,0.40093,10,10,10
OPF,exp_051,1,0.314873,0.277081,10,10,10
OPF,exp_051,2,0.209317,0.415341,10,10,10
OPF,exp_051,3,0.241963,0.449509,10,10,10
OPF,exp_052,1,0.368346,0.357015,10,10,10
OPF,exp_052,2,0.435403,0.409679,10,10,10
OPF,exp_052,3,0.343754,0.439429,10,10,10
OPF,exp_053,1,0.350795,0.30808,10,10,10
OPF,exp_053,2,0.30649,0.397985,10,10,10
OPF,exp_053,3,0.323782,0.40704,10,10,10
OPF,exp_054,1,0.266463,0.324033,10,10,10
OPF,exp_054,2,0.283837,0.429055,10,10,10
OPF,exp_054,3,0.342985,0.424151,10,10,10
OPF,exp_055,1,0.226381,0.290292,10,10,10
OPF,exp_055,2,0.251794,0.396588,10,10,10
OPF,exp_055,3,0.282441,0.382008,10,10,10
OPF,exp_056,1,0.231874,0.289061,10,10,10
OPF,exp_056,2,0.250351,0.391042,10,10,10
OPF,exp_056,3,0.259579,0.377829,10,10,10
OPF,exp_057,1,0.229886,0.322792,10,10,10
OPF,exp_057,2,0.181073,0.486742,10,10,10
OPF,exp_057,3,0.213955,0.494102,10,10,10
OPF,exp_058,1,0.326915,0.291607,10,10,10
OPF,exp_058,2,0.314702,0.404028,10,10,10
OPF,exp_058,3,0.243402,0.492894,10,10,10
OPF,exp_059,1,0.281306,0.317578,10,10,10
OPF,exp_059,2,0.283769,0.394793,10,10,10
OPF,exp_059,3,0.276627,0.416892,10,10,10
OPF,exp_060,1,0.204064,0.325587,10,10,10
OPF,exp_060,2,0.187393,0.367161,10,10,10
OPF,exp_060,3,0.22483,0.371199,10,10,10
OPF,exp_061,1,0.242979,0.290594,10,10,10
OPF,exp_061,2,0.244227,0.431427,10,10,10
OPF,exp_061,3,0.272473,0.486211,10,10,10
OPF,exp_062,1,0.26071,0.330663,10,10,10
OPF,exp_062,2,0.210104,0.403713,10,10,10
OPF,exp_062,3,0.182235,0.418309,10,10,10
OPF,exp_063,1,0.25051,0.323838,10,10,10
OPF,exp_063,2,0.248239,0.391435,10,10,10
OPF,exp_063,3,0.288953,0.423996,10,10,10
OPF,exp_064,1,0.216896,0.292023,10,10,10
OPF,exp_064,2,0.216996,0.375707,10,10,10
OPF,exp_064,3,0.191693,0.402651,10,10,10
OPF,exp_065,1,0.397717,0.280236,10,10,10
OPF,exp_065,2,0.419977,0.386958,10,10,10
OPF,exp_065,3,0.375843,0.390731,10,10,10
OPF,exp_066,1,0.307907,0.31108,10,10,10
OPF,exp_066,2,0.343662,0.364804,10,10,10
OPF,exp_066,3,0.345978,0.418301,10,10,10
OPF,exp_067,1,0.278056,0.306502,10,10,10
OPF,exp_067,2,0.192104,0.377625,10,10,10
OPF,exp_067,3,0.204759,0.382352,10,10,10
OPF,exp_068,1,0.374534,0.267517,10,10,10
OPF,exp_068,2,0.313799,0.384069,10,10,10
OPF,exp_068,3,0.30222,0.446888,10,10,10
OPF,exp_069,1,0.230311,0.292598,10,10,10
OPF,exp_069,2,0.209622,0.377357,10,10,10
OPF,exp_069,3,0.178654,0.434185,10,10,10
OPF,exp_070,1,0.289286,0.306921,10,10,10
OPF,exp_070,2,0.24196,0.407743,10,10,10
OPF,exp_070,3,0.373969,0.260242,10,10,10
OPF,exp_071,1,0.317371,0.285046,10,10,10
OPF,exp_071,2,0.232416,0.381543,10,10,10
OPF,exp_071,3,0.244833,0.381303,10,10,10
OPF,exp_072,1,0.278248,0.314294,10,10,10
OPF,exp_072,2,0.31974,0.461707,10,10,10
OPF,exp_072,3,0.285397,0.498381,10,10,10
OPF,exp_073,1,0.258139,0.362526,10,10,10
OPF,exp_073,2,0.317033,0.452835,10,10,10
OPF,exp_073,3,0.313817,0.393276,10,10,10
OPF,exp_074,1,0.228378,0.304294,10,10,10
OPF,exp_074,2,0.260833,0.338912,10,10,10
OPF,exp_074,3,0.236033,0.423809,10,10,10
OPF,exp_075,1,0.341504,0.279421,10,10,10
OPF,exp_075,2,0.292461,0.367178,10,10,10
OPF,exp_075,3,0.253602,0.38499,10,10,10
OPF,exp_076,1,0.254945,0.354366,10,10,10
OPF,exp_076,2,0.264007,0.381913,10,10,10
OPF,exp_076,3,0.206193,0.446199,10,10,10
OPF,exp_077,1,0.274087,0.320301,10,10,10
OPF,exp_077,2,0.379507,0.390709,10,10,10
OPF,exp_077,3,0.39742,0.393114,10,10,10
OPF,exp_078,1,0.310643,0.246572,10,10,10
OPF,exp_078,2,0.276268,0.378473,10,10,10
OPF,exp_078,3,0.450612,0.409205,10,10,10
OPF,exp_079,1,0.292923,0.287531,10,10,10
OPF,exp_079,2,0.261906,0.380267,10,10,10
OPF,exp_079,3,0.213502,0.411671,10,10,10
OPF,exp_080,1,0.334903,0.277735,10,10,10
OPF,exp_080,2,0.356594,0.403419,10,10,10
OPF,exp_080,3,0.363533,0.304551,10,10,10
OPF,exp_081,1,0.312653,0.374336,10,10,10
OPF,exp_081,2,0.337462,0.448346,10,10,10
OPF,exp_081,3,0.296783,0.471846,10,10,10
OPF,exp_082,1,0.217017,0.324233,10,10,10
OPF,exp_082,2,0.208408,0.432473,10,10,10
OPF,exp_082,3,0.225991,0.418729,10,10,10
OPF,exp_083,1,0.223107,0.313186,10,10,10
OPF,exp_083,2,0.17088,0.384101,10,10,10
OPF,exp_083,3,0.232504,0.412769,10,10,10
OPF,exp_084,1,0.243522,0.322447,10,10,10
OPF,exp_084,2,0.255487,0.388203,10,10,10
OPF,exp_084,3,0.272382,0.416031,10,10,10
OPF,exp_085,1,0.262058,0.329208,10,10,10
OPF,exp_085,2,0.24465,0.419806,10,10,10
OPF,exp_085,3,0.243559,0.438343,10,10,10
OPF,exp_086,1,0.32754,0.30341,10,10,10
OPF,exp_086,2,0.327655,0.357365,10,10,10
OPF,exp_086,3,0.298653,0.389649,10,10,10
OPF,exp_087,1,0.301606,0.286578,10,10,10
OPF,exp_087,2,0.261645,0.40954,10,10,10
OPF,exp_087,3,0.226642,0.381349,10,10,10
OPF,exp_088,1,0.278213,0.266358,10,10,10
OPF,exp_088,2,0.353564,0.333762,10,10,10
OPF,exp_088,3,0.343938,0.370149,10,10,10
OPF,exp_089,1,0.359553,0.337335,10,10,10
OPF,exp_089,2,0.300861,0.399248,10,10,10
OPF,exp_089,3,0.285661,0.434765,10,10,10
OPF,exp_090,1,0.310236,0.312853,10,10,10
OPF,exp_090,2,0.259325,0.333894,10,10,10
OPF,exp_090,3,0.206132,0.395207,10,10,10
OPF,exp_091,1,0.334061,0.34499,10,10,10
OPF,exp_091,2,0.379903,0.338337,10,10,10
OPF,exp_091,3,0.333088,0.363702,10,10,10
OPF,exp_092,1,0.313112,0.314157,10,10,10
OPF,exp_092,2,0.24356,0.431335,10,10,10
OPF,exp_092,3,0.301377,0.382745,10,10,10
OPF,exp_093,1,0.26573,0.271219,10,10,10
OPF,exp_093,2,0.190224,0.374879,10,10,10
OPF,exp_093,3,0.252068,0.434029,10,10,10
OPF,exp_094,1,0.347872,0.311249,10,10,10
OPF,exp_094,2,0.237044,0.436379,10,10,10
OPF,exp_094,3,0.191156,0.508255,10,10,10
OPF,exp_095,1,0.232869,0.275525,10,10,10
OPF,exp_095,2,0.282336,0.376981,10,10,10
OPF,exp_095,3,0.246855,0.419179,10,10,10
OPF,exp_096,1,0.23929,0.308467,10,10,10
OPF,exp_096,2,0.206694,0.419957,10,10,10
OPF,exp_096,3,0.257642,0.444307,10,10,10
OPF,exp_097,1,0.296627,0.271846,10,10,10
OPF,exp_097,2,0.24458,0.429393,10,10,10
OPF,exp_097,3,0.26559,0.480766,10,10,10
OPF,exp_098,1,0.303717,0.324491,10,10,10
OPF,exp_098,2,0.230588,0.408803,10,10,10
OPF,exp_098,3,0.368757,0.447465,10,10,10
OPF,exp_099,1,0.295868,0.329735,10,10,10
OPF,exp_099,2,0.332564,0.414165,10,10,10
OPF,exp_099,3,0.327785,0.426173,10,10,10
OPF,exp_100,1,0.211083,0.353683,10,10,10
OPF,exp_100,2,0.223599,0.468325,10,10,10
OPF,exp_100,3,0.183343,0.485879,10,10,10
OPF,exp_101,1,0.291043,0.299961,10,10,10
OPF,exp_101,2,0.27694,0.417081,10,10,10
OPF,exp_101,3,0.260985,0.43871,10,10,10
OPF,exp_102,1,0.208236,0.299004,10,10,10
OPF,exp_102,2,0.206416,0.448393,10,10,10
OPF,exp_102,3,0.238344,0.383106,10,10,10
OPF,exp_103,1,0.300283,0.344041,10,10,10
OPF,exp_103,2,0.271128,0.394784,10,10,10
OPF,exp_103,3,0.218808,0.417091,10,10,10
OPF,exp_104,1,0.26852,0.32916,10,10,10
OPF,exp_104,2,0.410489,0.34923,10,10,10
OPF,exp_104,3,0.360323,0.430516,10,10,10
OPF,exp_105,1,0.181369,0.347041,10,10,10
OPF,exp_105,2,0.210707,0.373183,10,10,10
OPF,exp_105,3,0.244241,0.398209,10,10,10
OPF,exp_106,1,0.232901,0.337004,10,10,10
OPF,exp_106,2,0.2593,0.407387,10,10,10
OPF,exp_106,3,0.239207,0.404502,10,10,10
OPF,exp_107,1,0.303909,0.257351,10,10,10
OPF,exp_107,2,0.372166,0.373565,10,10,10
OPF,exp_107,3,0.318411,0.406049,10,10,10
OPF,exp_108,1,0.265403,0.310636,10,10,10
OPF,exp_108,2,0.337896,0.437415,10,10,10
OPF,exp_108,3,0.325083,0.421403,10,10,10
OPF,exp_109,1,0.29691,0.276555,10,10,10
OPF,exp_109,2,0.254656,0.389348,10,10,10
OPF,exp_109,3,0.24931,0.459645,10,10,10
OPF,exp_110,1,0.311256,0.317121,10,10,10
OPF,exp_110,2,0.280801,0.407586,10,10,10
OPF,exp_110,3,0.282579,0.416476,10,10,10
OPF,exp_111,1,0.213576,0.35757,10,10,10
OPF,exp_111,2,0.276915,0.419329,10,10,10
OPF,exp_111,3,0.329141,0.448021,10,10,10
OPF,exp_112,1,0.238145,0.312109,10,10,10
OPF,exp_112,2,0.34409,0.43602,10,10,10
OPF,exp_112,3,0.344906,0.466143,10,10,10
OPF,exp_113,1,0.262857,0.311382,10,10,10
OPF,exp_113,2,0.36184,0.403801,10,10,10
OPF,exp_113,3,0.37893,0.432966,10,10,10
OPF,exp_114,1,0.407765,0.306899,10,10,10
OPF,exp_114,2,0.321814,0.425936,10,10,10
OPF,exp_114,3,0.305503,0.49704,10,10,10
OPF,exp_115,1,0.333685,0.319268,10,10,10
OPF,exp_115,2,0.224285,0.367692,10,10,10
OPF,exp_115,3,0.358661,0.329281,10,10,10
OPF,exp_116,1,0.268537,0.318979,10,10,10
OPF,exp_116,2,0.271258,0.409568,10,10,10
OPF,exp_116,3,0.32725,0.404906,10,10,10
OPF,exp_117,1,0.313564,0.346812,10,10,10
OPF,exp_117,2,0.283407,0.330559,10,10,10
OPF,exp_117,3,0.255397,0.387022,10,10,10
OPF,exp_118,1,0.287553,0.346783,10,10,10
OPF,exp_118,2,0.266763,0.320937,10,10,10
OPF,exp_118,3,0.217221,0.451095,10,10,10
OPF,exp_119,1,0.254313,0.303627,10,10,10
OPF,exp_119,2,0.268544,0.42061,10,10,10
OPF,exp_119,3,0.2575,0.413814,10,10,10
OPF,exp_120,1,0.267738,0.29494,10,10,10
OPF,exp_120,2,0.283242,0.401517,10,10,10
OPF,exp_120,3,0.370449,0.418682,10,10,10
