exp,meta_round_id,agent_id,backend,model,temperature,survival_days,death_day,death_count,mortality_rate,final_status,status_alive,final_hp,final_budget,total_bid,avg_bid,bid_variance,max_bid,min_bid,error_count,compile_success,runtime_success,strategy_complexity
exp_029,1,Alex,openai,gpt-5.4,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,247.0,24.7,936.81,66.0,0.0,0,1.0,1.0,502.0
exp_029,1,Bob,openai,gpt-5.4-nano,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,331.20000000000005,33.120000000000005,2559.5136,110.4,0.0,1,1.0,0.0,523.0
exp_029,1,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,300.0,1200.0,120.0,0.0,120.0,120.0,0,1.0,1.0,446.0
exp_029,1,David,gemini,gemini-3.1-flash-lite,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,1.0,0.0
exp_029,1,Eric,deepseek,deepseek-v4-flash,0.6,10,,0.0,0.0,alive,1.0,7.0,1120.0,700.0,70.0,0.0,70.0,70.0,0,1.0,1.0,62.0
exp_029,2,Alex,openai,gpt-5.4,0.6,10,,0.0,0.0,alive,1.0,7.0,179.5555,844.4445,84.44444999999999,2659.7279722225,171.5,6.0,0,1.0,1.0,718.0
exp_029,2,Bob,openai,gpt-5.4-nano,0.6,8,9,1.0,100.0,dead,0.0,-2.0,0.0,647.8814699999999,64.788147,584.8514549455409,95.94449999999999,0.0,0,1.0,1.0,475.0
exp_029,2,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,2.0,1224.1109999999999,710.8335,71.08335,542.7116268524999,103.44449999999999,45.0,0,1.0,1.0,216.0
exp_029,2,David,gemini,gemini-3.1-flash-lite,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,168.0,16.8,543.36,72.0,0.0,0,1.0,1.0,129.0
exp_029,2,Eric,deepseek,deepseek-v4-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,469.6109999999999,1109.389,110.93889999999999,1562.22168284,170.5,70.0,0,1.0,1.0,224.0
