model,backend,sample_count,agent_count,exp_count,meta_round_record_count,avg_survival_days,avg_final_hp,avg_final_budget,avg_total_bid,avg_daily_bid,avg_bid_variance,avg_max_bid,avg_min_bid,avg_error_count,avg_compile_success,avg_runtime_success,avg_strategy_complexity,avg_status_alive,total_death_count,mortality_rate
deepseek-v4-flash,deepseek,10,1,1,10,7.0,3.6,311.66999999999996,782.192,78.2192,772.9425376,109.42,46.2,0.4,0.9,1.0,184.0,0.5,5.0,50.0
gemini-2.5-flash,gemini,10,1,1,10,9.5,7.6,690.2677153846154,1250.7005256410257,125.07005256410257,764.053752688353,151.38796153846152,100.4004923076923,0.0,1.0,1.0,336.1,0.9,1.0,10.0
gemini-3.1-flash-lite,gemini,10,1,1,10,4.6,-0.4,19.3388,334.90708333333333,33.49070833333333,1061.5165767436251,64.52574999999999,4.5,2.0,0.5,1.0,87.1,0.1,9.0,90.0
gpt-5.4,openai,10,1,1,10,9.2,5.7,129.4686153846154,952.9473069230769,95.2947306923077,1758.3103385598836,150.30846153846156,37.075,0.0,1.0,1.0,682.4,0.8,2.0,20.0
gpt-5.4-nano,openai,10,1,1,10,4.3,-0.6,17.2,385.45604285714285,38.54560428571428,1286.0235103202244,87.05714285714285,5.625,0.4,1.0,0.9,426.7,0.1,9.0,90.0
