model,backend,sample_count,agent_count,exp_count,meta_round_record_count,avg_survival_days,avg_final_hp,avg_final_budget,avg_total_bid,avg_daily_bid,avg_bid_variance,avg_max_bid,avg_min_bid,avg_error_count,avg_compile_success,avg_runtime_success,avg_strategy_complexity,avg_status_alive,total_death_count,mortality_rate
deepseek-v4-flash,deepseek,10,1,1,10,6.6,3.3,453.563492175,557.7094999462499,55.77094999462499,1309.580706986666,88.892,17.55,0.4,0.9,1.0,181.8,0.5,5.0,50.0
gemini-2.5-flash,gemini,10,1,1,10,9.1,7.8,382.64919157291666,1092.6333084270832,109.26333084270834,642.5448426200838,131.736075625,82.95,0.4,1.0,0.9,360.3,0.8,2.0,20.0
gemini-3.1-flash-lite,gemini,10,1,1,10,5.8,2.1,99.78848505624998,447.7195270566667,44.77195270566666,781.8065909998298,74.75642494375,18.5,1.6,0.6,1.0,105.5,0.4,6.0,60.0
gpt-5.4,openai,10,1,1,10,5.9,2.1,44.89175,625.8186499999999,62.58186500000001,1467.02525675025,114.75715,21.756,0.0,1.0,1.0,654.4,0.4,6.0,60.0
gpt-5.4-nano,openai,10,1,1,10,4.1,-1.4,0.0,356.67390476803405,35.667390476803405,1105.6949526096928,80.62619199999999,4.702500000000001,0.4,1.0,0.9,437.1,0.0,10.0,100.0
