model,backend,sample_count,agent_count,exp_count,meta_round_record_count,avg_survival_days,avg_final_hp,avg_final_budget,avg_total_bid,avg_daily_bid,avg_bid_variance,avg_max_bid,avg_min_bid,avg_error_count,avg_compile_success,avg_runtime_success,avg_strategy_complexity,avg_status_alive,total_death_count,mortality_rate
deepseek-v4-flash,deepseek,10,1,1,10,6.6,2.2,340.247625,702.078625,70.2078625,1489.4958774515624,106.04875,20.15,0.4,0.9,1.0,194.7,0.4,6.0,60.0
gemini-2.5-flash,gemini,10,1,1,10,10.0,8.6,629.72690125,1384.09520625,138.409520625,355.1294429322883,160.69492,122.125,0.0,1.0,1.0,362.5,1.0,0.0,0.0
gemini-3.1-flash-lite,gemini,10,1,1,10,5.6,0.8,45.25847787499999,444.4212378125,44.442123781250004,849.2901370726926,75.27219256250001,7.2,2.0,0.5,1.0,86.6,0.3,7.0,70.0
gpt-5.4,openai,10,1,1,10,7.9,4.9,44.68668087499999,940.313569125,94.0313569125,1873.3280669072178,153.885800375,39.6,0.0,1.0,1.0,610.3,0.7,3.0,30.0
gpt-5.4-nano,openai,10,1,1,10,4.5,0.4,19.9782103895,471.17699375,47.117699375,1384.3887399803211,103.57398125,9.558769999999999,0.4,1.0,0.9,445.5,0.2,8.0,80.0
