summary_level,feedback,model,role,baseline_stratum,mean_survival_gain,mean_value_gain,improvement_rate,tie_rate,degradation_rate,mortality_change,death_to_survival_rate,survival_to_death_rate,mean_baseline_survival,mean_adapted_survival,valid_pair_count,error_pair_count,experiment_count,expected_pair_count,coverage,mean_survival_gain_ci_low,mean_survival_gain_ci_high,mean_value_gain_ci_low,mean_value_gain_ci_high,improvement_rate_ci_low,improvement_rate_ci_high,mortality_change_ci_low,mortality_change_ci_high
model,OF,claude-sonnet-5,ALL,ALL,1.021666666666667,1.0230844475242866,0.5933333333333334,0.12666666666666665,0.28,-0.06999999999999999,0.09833333333333333,0.028333333333333332,16.323333333333334,17.345,600,0,120,600,1.0,0.5057564204153335,1.5953115357691956,0.48715860527095944,1.5581548030599939,0.5414755316190804,0.6437974517185631,-0.10812578369905956,-0.03580450846005571
model,OF,deepseek-v4-flash,ALL,ALL,0.12333333333333334,0.12354419085527824,0.3833333333333333,0.17166666666666666,0.445,-0.02166666666666666,0.13666666666666666,0.11499999999999999,13.280000000000001,13.403333333333332,600,0,120,600,1.0,-0.9318174603174603,1.1312002453071692,-0.9446012448782999,1.1551793605101897,0.3198220353555457,0.44870967344249946,-0.08354377021776453,0.043077918280549805
model,OF,gemini-3.5-flash,ALL,ALL,0.47000000000000003,0.4699906108799903,0.3783333333333333,0.2066666666666667,0.41500000000000004,-0.034999999999999996,0.06333333333333332,0.028333333333333332,17.235,17.705000000000002,600,0,120,600,1.0,0.12895746929694074,0.923482260383908,0.11354319314720755,0.903342411065257,0.32780754667597073,0.4278996949253504,-0.0633073497091144,-0.009158463546004776
model,OF,gpt-5.4,ALL,ALL,0.5866666666666667,0.5874895310814807,0.4133333333333334,0.26,0.32666666666666666,-0.034999999999999996,0.06,0.025,16.456666666666667,17.043333333333333,600,0,120,600,1.0,0.17819648713237365,1.074560300687568,0.17430743641822868,1.0423167928768373,0.359953762512683,0.4658718742736727,-0.06871251322207202,-0.0053071234119782245
model,OF,gpt-5.4-nano,ALL,ALL,-0.3,-0.30026405619323426,0.295,0.40166666666666667,0.30333333333333334,0.006666666666666666,0.075,0.08166666666666668,10.865,10.565000000000001,600,0,120,600,1.0,-0.8820385712059667,0.2529110824998735,-0.8602920285799512,0.2860841760413107,0.2435907773386034,0.3476866300579869,-0.03310394497676979,0.0480358915222708
model,OPF,claude-sonnet-5,ALL,ALL,0.9116666666666667,0.9124629679481913,0.49000000000000005,0.11833333333333333,0.3916666666666667,-0.05499999999999999,0.09333333333333334,0.03833333333333333,16.066666666666666,16.97833333333333,600,0,120,600,1.0,0.3818486467236467,1.474217972203233,0.3684395221073887,1.4682815757525303,0.43525948595841496,0.5462228467297385,-0.0960012987012987,-0.014637557522568989
model,OPF,deepseek-v4-flash,ALL,ALL,0.6016666666666667,0.602529470063199,0.43499999999999994,0.14333333333333334,0.4216666666666667,-0.045,0.16333333333333333,0.11833333333333333,13.493333333333334,14.095000000000002,600,0,120,600,1.0,-0.6631195178554512,1.7754047305559661,-0.615700299845726,1.858734984620012,0.3700679517583865,0.49584089982658436,-0.12161681798027849,0.027425688297209923
model,OPF,gemini-3.5-flash,ALL,ALL,0.26333333333333336,0.26339996984681574,0.44499999999999995,0.14166666666666666,0.4133333333333333,-0.003333333333333334,0.04833333333333333,0.045,17.098333333333336,17.361666666666668,600,0,120,600,1.0,-0.1993694409937888,0.7515463664596269,-0.20210899483874353,0.7134695480345512,0.39323574531547356,0.4970480492008179,-0.03459486104025358,0.028757895855256774
model,OPF,gpt-5.4,ALL,ALL,0.9183333333333333,0.9189894611458026,0.44833333333333336,0.18166666666666664,0.37,-0.05333333333333333,0.09,0.03666666666666667,15.663333333333336,16.581666666666667,600,0,120,600,1.0,0.32046891501451835,1.5564483194731358,0.3073670194329088,1.5929258983100458,0.39079804675716445,0.5064652749815568,-0.09233417907416763,-0.014983477350536189
model,OPF,gpt-5.4-nano,ALL,ALL,0.13,0.12966349503522298,0.3533333333333334,0.2816666666666667,0.365,2.0816681711721684e-18,0.10833333333333335,0.10833333333333332,12.351666666666667,12.481666666666666,600,0,120,600,1.0,-0.8411907883420928,1.0645531086968585,-0.8069188318956777,1.0210304985962029,0.2959708416450038,0.4133218060882979,-0.06001377168558579,0.055712648778809715
