condition_or_contrast,fosg_days,ci95_low,ci95_high,experiment_count,focal_policy_count,valid_seed_replays,bootstrap_replicates,bootstrap_seed
OF,0.38033333333333336,0.09800000000000002,0.6623333333333333,120,600,3000,50000,20260714
OPF,0.565,0.2283333333333333,0.9046666666666666,120,600,3000,50000,20260714
OPF-minus-OF,0.1846666666666666,-0.253,0.6146666666666667,120,1200,6000,50000,20260714
