agent_id,model,backend,sample_count,exp_count,meta_round_record_count,avg_survival_days,avg_final_hp,avg_final_budget,avg_total_bid,avg_daily_bid,avg_bid_variance,avg_max_bid,avg_min_bid,avg_error_count,avg_compile_success,avg_runtime_success,avg_strategy_complexity,avg_status_alive,total_death_count,mortality_rate
Alex,gpt-5.4,openai,10,1,10,7.7,3.8,104.24998906,793.15655594,79.31565559399999,1391.375684829089,127.04077749999999,30.808699999999998,0.0,1.0,1.0,633.1,0.6,4.0,40.0
Bob,gpt-5.4-nano,openai,10,1,10,5.8,0.6,12.09228952083333,571.7414563889547,57.17414563889547,1286.3220288963514,94.579725544788,9.882,0.8,1.0,0.8,454.4,0.2,8.0,80.0
Cindy,gemini-2.5-flash,gemini,10,1,10,8.3,5.2,451.87392250000005,1070.5121023282552,107.05121023282553,2051.6863164450215,148.6327775,62.6,0.4,0.9,1.0,306.0,0.7,3.0,30.0
David,gemini-3.1-flash-lite,gemini,10,1,10,5.7,1.4,100.98700151041666,336.86225668246743,33.68622566824674,939.0541737647633,77.3671865125,5.9,1.6,0.6,1.0,109.0,0.3,7.0,70.0
Eric,deepseek-v4-flash,deepseek,10,1,10,9.1,6.6,579.77933462,911.66422963,91.166422963,1017.96021855171,128.13794425,54.7,0.0,1.0,1.0,215.5,0.8,2.0,20.0
