agent_id,model,backend,sample_count,exp_count,meta_round_record_count,avg_survival_days,avg_final_hp,avg_final_budget,avg_total_bid,avg_daily_bid,avg_bid_variance,avg_max_bid,avg_min_bid,avg_error_count,avg_compile_success,avg_runtime_success,avg_strategy_complexity,avg_status_alive,total_death_count,mortality_rate
Alex,gpt-5.4,openai,10,1,10,7.6,4.8,80.89153680000001,751.0988284777777,75.10988284777777,1513.640910913964,134.6685032,28.22,0.0,1.0,1.0,618.4,0.6,4.0,40.0
Bob,gpt-5.4-nano,openai,10,1,10,6.0,2.3,117.22251569260013,583.1959650997359,58.319596509973586,1299.096454690523,108.26825475000001,19.064925,0.4,1.0,0.9,437.0,0.4,6.0,60.0
Cindy,gemini-2.5-flash,gemini,10,1,10,9.2,7.7,538.3043100538772,1144.6487552794563,114.46487552794561,1343.715633471632,157.179160184,67.8016,0.0,1.0,1.0,331.2,0.8,2.0,20.0
David,gemini-3.1-flash-lite,gemini,10,1,10,4.6,-0.4,9.731499999999999,267.8960083333333,26.78960083333333,1115.1153269913125,55.5924,0.5,2.4,0.4,1.0,68.4,0.1,9.0,90.0
Eric,deepseek-v4-flash,deepseek,10,1,10,7.5,3.2,417.90560000000005,831.1604251111112,83.1160425111111,1179.4562275041685,119.19102222222223,32.54,0.4,1.0,0.9,239.4,0.5,5.0,50.0
