model,backend,sample_count,agent_count,exp_count,meta_round_record_count,avg_survival_days,avg_final_hp,avg_final_budget,avg_total_bid,avg_daily_bid,avg_bid_variance,avg_max_bid,avg_min_bid,avg_error_count,avg_compile_success,avg_runtime_success,avg_strategy_complexity,avg_status_alive,total_death_count,mortality_rate
deepseek-v4-flash,deepseek,10,1,1,10,7.9,5.2,358.41161999999997,956.2016966666666,95.62016966666667,705.6089658136948,136.73,72.66,0.4,0.9,1.0,215.9,0.7,3.0,30.0
gemini-2.5-flash,gemini,10,1,1,10,9.1,7.0,529.3100000000001,1306.1445095653678,130.6144509565368,6491.887547260894,228.04000000000002,90.25,0.0,1.0,1.0,327.3,0.8,2.0,20.0
gemini-3.1-flash-lite,gemini,10,1,1,10,5.7,1.4,41.77940722222223,430.0561292871527,43.00561292871528,1005.3638630099265,78.06639583333333,8.0,1.6,0.6,1.0,95.1,0.3,7.0,70.0
gpt-5.4,openai,10,1,1,10,7.2,4.8,29.609,815.033,81.5033,1581.0181085,137.871,38.2,0.0,1.0,1.0,609.9,0.6,4.0,40.0
gpt-5.4-nano,openai,10,1,1,10,6.2,2.3,128.276084820811,573.5884954423497,57.358849544234964,992.053723401267,91.44844771993205,13.984,0.8,1.0,0.8,439.6,0.4,6.0,60.0
