model,backend,sample_count,agent_count,exp_count,meta_round_record_count,avg_survival_days,avg_final_hp,avg_final_budget,avg_total_bid,avg_daily_bid,avg_bid_variance,avg_max_bid,avg_min_bid,avg_error_count,avg_compile_success,avg_runtime_success,avg_strategy_complexity,avg_status_alive,total_death_count,mortality_rate
deepseek-v4-flash,deepseek,10,1,1,10,6.9,1.5,346.8373052,718.1810588000001,71.81810587999999,1577.6515827470973,110.52394480000001,16.9,0.4,0.9,1.0,206.1,0.4,6.0,60.0
gemini-2.5-flash,gemini,10,1,1,10,10.0,8.6,694.2870387634638,1351.5459145743612,135.15459145743608,5257.435549069936,230.48989907405726,99.2172,0.0,1.0,1.0,384.3,1.0,0.0,0.0
gemini-3.1-flash-lite,gemini,10,1,1,10,6.1,2.1,146.3049647841446,386.16514404311624,38.61651440431162,414.0362697069265,64.04545334065784,17.5,1.6,0.6,1.0,100.2,0.4,6.0,60.0
gpt-5.4,openai,10,1,1,10,9.6,7.4,96.43554018377105,999.6195365662722,99.96195365662723,1687.806947945377,154.74448672349976,43.47,0.0,1.0,1.0,627.2,0.9,1.0,10.0
gpt-5.4-nano,openai,10,1,1,10,5.6,-0.4,95.7531999999073,522.3065960001309,52.230659600013084,1233.7809448408448,98.61920000004343,11.8125,0.1,1.0,0.9,438.1,0.2,8.0,80.0
