exp,meta_round_id,agent_id,backend,model,temperature,survival_days,death_day,death_count,mortality_rate,final_status,status_alive,final_hp,final_budget,total_bid,avg_bid,bid_variance,max_bid,min_bid,error_count,compile_success,runtime_success,strategy_complexity
exp_090,1,Alex,openai,gpt-5.4,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,199.5,19.95,803.7225,63.0,0.0,0,1.0,1.0,498.0
exp_090,1,Bob,openai,gpt-5.4-nano,0.6,4,5,1.0,100.0,dead,0.0,0.0,0.0,295.47,29.547000000000004,894.3291810000002,64.35000000000001,0.0,0,1.0,1.0,453.0
exp_090,1,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,729.0,993.0,99.3,928.81,161.0,66.0,0,1.0,1.0,448.0
exp_090,1,David,gemini,gemini-3.1-flash-lite,0.6,8,9,1.0,100.0,dead,0.0,-2.0,0.0,432.0,43.2,245.76,64.0,0.0,0,1.0,1.0,97.0
exp_090,1,Eric,deepseek,deepseek-v4-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,650.0,1002.0,100.2,800.76,159.0,70.0,0,1.0,1.0,260.0
exp_090,2,Alex,openai,gpt-5.4,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,297.0,29.7,1573.61,96.0,0.0,0,1.0,1.0,626.0
exp_090,2,Bob,openai,gpt-5.4-nano,0.6,7,8,1.0,100.0,dead,0.0,0.0,0.0,995.0999999999999,99.50999999999999,2913.8005799999996,136.07999999999998,0.0,0,1.0,1.0,381.0
exp_090,2,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,277.5,1372.5,137.25,1665.5625,157.5,15.0,0,1.0,1.0,318.0
exp_090,2,David,gemini,gemini-3.1-flash-lite,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,317.9025,31.790249999999997,1698.5401555624999,110.3025,0.0,0,1.0,1.0,201.0
exp_090,2,Eric,deepseek,deepseek-v4-flash,0.6,8,9,1.0,100.0,dead,0.0,0.0,0.0,882.0,88.2,2446.4719999999998,151.2,0.0,0,1.0,1.0,320.0
exp_090,3,Alex,openai,gpt-5.4,0.6,10,,0.0,0.0,alive,1.0,8.0,63.43000000000001,1145.87,114.58699999999999,1800.502921,178.3,45.0,0,1.0,1.0,772.0
exp_090,3,Bob,openai,gpt-5.4-nano,0.6,4,5,1.0,100.0,dead,0.0,0.0,0.0,330.00750000000005,33.000750000000004,1287.6401975625001,87.18,0.0,0,1.0,1.0,535.0
exp_090,3,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,9.0,612.0335999999999,1466.903064,146.6903064,341.6821837361288,180.08300000000003,115.5,0,1.0,1.0,379.0
exp_090,3,David,gemini,gemini-3.1-flash-lite,0.6,10,,0.0,0.0,alive,1.0,10.0,0.0,1166.3176,116.63176000000001,1261.9498653504004,161.20000000000002,30.0,0,1.0,1.0,180.0
exp_090,3,Eric,deepseek,deepseek-v4-flash,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,312.0,31.2,2482.76,143.0,0.0,0,1.0,1.0,206.0
exp_090,4,Alex,openai,gpt-5.4,0.6,10,,0.0,0.0,alive,1.0,7.0,70.0,1232.0,123.2,2492.272,172.5,29.4,0,1.0,1.0,633.0
exp_090,4,Bob,openai,gpt-5.4-nano,0.6,6,7,1.0,100.0,dead,0.0,-3.0,0.0,689.4046875,68.94046875000001,2293.750692114258,120.60000000000001,0.0,0,1.0,1.0,452.0
exp_090,4,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,9.0,737.5,1487.5,148.75,175.3125,170.0,135.0,0,1.0,1.0,449.0
exp_090,4,David,gemini,gemini-3.1-flash-lite,0.6,10,,0.0,0.0,alive,1.0,3.0,455.0,633.0,63.3,1999.76,157.5,40.0,0,1.0,1.0,187.0
exp_090,4,Eric,deepseek,deepseek-v4-flash,0.6,6,7,1.0,100.0,dead,0.0,-2.0,0.0,714.0,71.4,3094.84,133.0,0.0,0,1.0,1.0,231.0
exp_090,5,Alex,openai,gpt-5.4,0.6,8,9,1.0,100.0,dead,0.0,0.0,0.0,1302.5,130.25,4688.0625,231.25,0.0,0,1.0,1.0,744.0
exp_090,5,Bob,openai,gpt-5.4-nano,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,299.88,29.988,1467.3155872500001,85.995,0.0,0,1.0,1.0,400.0
exp_090,5,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,251.89999999999998,1965.1,196.51,1031.7784,242.25,150.0,0,1.0,1.0,202.0
exp_090,5,David,gemini,gemini-3.1-flash-lite,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,1.0,0.0
exp_090,5,Eric,deepseek,deepseek-v4-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,80.35000000000002,1850.0,185.0,2380.7795,243.25,71.39999999999999,0,1.0,1.0,313.0
exp_090,6,Alex,openai,gpt-5.4,0.6,10,,0.0,0.0,alive,1.0,4.0,159.56,1313.56,131.356,1946.259344,209.44,62.0,0,1.0,1.0,734.0
