model,backend,sample_count,agent_count,exp_count,meta_round_record_count,avg_survival_days,avg_final_hp,avg_final_budget,avg_total_bid,avg_daily_bid,avg_bid_variance,avg_max_bid,avg_min_bid,avg_error_count,avg_compile_success,avg_runtime_success,avg_strategy_complexity,avg_status_alive,total_death_count,mortality_rate
deepseek-v4-flash,deepseek,10,1,1,10,8.6,6.2,382.2606666666667,1029.4343333333334,102.94343333333333,941.9807971,145.82133333333334,62.488,0.0,1.0,1.0,230.8,0.7,3.0,30.0
gemini-2.5-flash,gemini,10,1,1,10,9.1,6.1,613.2,1264.9244999999999,126.49245,4263.309778725,213.2875,74.97999999999999,0.0,1.0,1.0,363.0,0.8,2.0,20.0
gemini-3.1-flash-lite,gemini,10,1,1,10,5.1,1.3,30.530999999999988,397.73832701875,39.773832701875,906.6225380572762,70.14984410208334,11.0,2.0,0.5,1.0,85.2,0.3,7.0,70.0
gpt-5.4,openai,10,1,1,10,8.8,6.1,83.954,992.1479999999999,99.2148,1538.0242334,153.087,38.427,0.0,1.0,1.0,607.6,0.8,2.0,20.0
gpt-5.4-nano,openai,10,1,1,10,6.3,0.8,152.95723656,610.31340344,61.031340344,1451.1011136088587,104.92142544000001,16.219575,0.0,1.0,1.0,424.1,0.3,7.0,70.0
