exp,meta_round_id,agent_id,backend,model,temperature,survival_days,death_day,death_count,mortality_rate,final_status,status_alive,final_hp,final_budget,total_bid,avg_bid,bid_variance,max_bid,min_bid,error_count,compile_success,runtime_success,strategy_complexity
exp_112,1,Alex,openai,gpt-5.4,0.6,10,,0.0,0.0,alive,1.0,8.0,47.25,1078.75,107.875,3526.540625,178.0,28.0,0,1.0,1.0,553.0
exp_112,1,Bob,openai,gpt-5.4-nano,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,93.6,9.36,133.2864,26.4,0.0,0,1.0,1.0,402.0
exp_112,1,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,9.0,487.75,1635.25,163.525,250.06112500000015,201.3,150.0,0,1.0,1.0,328.0
exp_112,1,David,gemini,gemini-3.1-flash-lite,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,1.0,0.0
exp_112,1,Eric,deepseek,deepseek-v4-flash,0.6,10,,0.0,0.0,alive,1.0,8.0,1008.0,1155.0,115.5,306.25,133.0,98.0,0,1.0,1.0,185.0
exp_112,2,Alex,openai,gpt-5.4,0.6,10,,0.0,0.0,alive,1.0,7.0,170.0,845.0699305555555,84.50699305555555,2106.4148378684895,140.0,0.0,0,1.0,1.0,634.0
exp_112,2,Bob,openai,gpt-5.4-nano,0.6,7,8,1.0,100.0,dead,0.0,-1.0,0.0,579.8100000000001,57.98100000000001,1406.4251490000001,93.75,0.0,0,1.0,1.0,374.0
exp_112,2,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,9.0,834.0,1063.2620625,106.32620625,330.9467399391016,137.0,90.0,0,1.0,1.0,451.0
exp_112,2,David,gemini,gemini-3.1-flash-lite,0.6,10,,0.0,0.0,alive,1.0,6.0,491.40081250000014,710.8224363425925,71.08224363425924,1270.94586142684,113.31956249999999,0.0,0,1.0,1.0,146.0
exp_112,2,Eric,deepseek,deepseek-v4-flash,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,1.0,0.0
exp_112,3,Alex,openai,gpt-5.4,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,364.03,36.403,2086.141241,111.57,0.0,0,1.0,1.0,707.0
exp_112,3,Bob,openai,gpt-5.4-nano,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,280.35,28.035000000000004,1236.548025,78.3,0.0,0,1.0,1.0,385.0
exp_112,3,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,215.31827837499998,1604.415,160.4415,213.98764765646257,188.5842866250001,149.0,0,1.0,1.0,407.0
exp_112,3,David,gemini,gemini-3.1-flash-lite,0.6,10,,0.0,0.0,alive,1.0,10.0,0.0,1255.8895,125.58895,2975.419477828963,183.5842866250001,0.0,0,1.0,1.0,197.0
exp_112,3,Eric,deepseek,deepseek-v4-flash,0.6,10,,0.0,0.0,alive,1.0,2.0,1137.0,1044.4745,104.44745,1818.2788085225,140.0,1.5,0,1.0,1.0,220.0
exp_112,4,Alex,openai,gpt-5.4,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,322.9,32.29,1966.9968999999999,123.0,0.0,0,1.0,1.0,599.0
exp_112,4,Bob,openai,gpt-5.4-nano,0.6,6,7,1.0,100.0,dead,0.0,0.0,0.0,643.75,64.375,2163.380625,115.0,0.0,0,1.0,1.0,448.0
exp_112,4,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,710.4000000000001,1194.3999999999999,119.43999999999998,266.9464,135.0,90.0,0,1.0,1.0,435.0
exp_112,4,David,gemini,gemini-3.1-flash-lite,0.6,10,,0.0,0.0,alive,1.0,8.0,416.65916666666675,915.7486666666665,91.57486666666665,1154.4428332659024,117.84512499999998,1.0,0,1.0,1.0,159.0
exp_112,4,Eric,deepseek,deepseek-v4-flash,0.6,9,10,1.0,100.0,dead,0.0,0.0,0.0,1104.09,110.40899999999999,99.64762399999995,125.99999999999999,92.39999999999999,0,1.0,1.0,329.0
exp_112,5,Alex,openai,gpt-5.4,0.6,8,9,1.0,100.0,dead,0.0,-2.0,0.0,1298.94,129.894,4333.497444,228.5,0.0,0,1.0,1.0,594.0
exp_112,5,Bob,openai,gpt-5.4-nano,0.6,6,7,1.0,100.0,dead,0.0,0.0,0.0,540.6,54.06,1937.5524,90.0,0.0,0,1.0,1.0,362.0
exp_112,5,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,377.86799999999994,1710.352,171.0352,2151.8001153600003,233.5,105.0,0,1.0,1.0,303.0
exp_112,5,David,gemini,gemini-3.1-flash-lite,0.6,10,,0.0,0.0,alive,1.0,3.0,454.83799999999997,1061.6406,106.16405999999999,2408.5634530824004,179.08650000000003,0.0,0,1.0,1.0,164.0
exp_112,5,Eric,deepseek,deepseek-v4-flash,0.6,10,,0.0,0.0,alive,1.0,9.0,514.15,1333.85,133.385,2974.3698250000007,220.5,78.39999999999999,0,1.0,1.0,201.0
exp_112,6,Alex,openai,gpt-5.4,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,328.0825320879121,32.808253208791214,1949.7061919991754,117.84506670329671,0.0,0,1.0,1.0,621.0
exp_112,6,Bob,openai,gpt-5.4-nano,0.6,5,6,1.0,100.0,dead,0.0,-1.0,0.0,450.074,45.007400000000004,1481.99136324,93.92,0.0,0,1.0,1.0,369.0
exp_112,6,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,19.309999999999974,1540.69,154.06900000000002,1035.152589,174.9,60.0,0,1.0,1.0,526.0
exp_112,6,David,gemini,gemini-3.1-flash-lite,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,1.0,0.0
exp_112,6,Eric,deepseek,deepseek-v4-flash,0.6,10,,0.0,0.0,alive,1.0,9.0,567.5500000000002,1377.05,137.70499999999998,1380.916705,169.9,63.0,0,1.0,1.0,282.0
exp_112,7,Alex,openai,gpt-5.4,0.6,10,,0.0,0.0,alive,1.0,4.0,305.55000000000007,880.2750833333333,88.02750833333333,2131.144208175625,132.28,19.0,0,1.0,1.0,641.0
exp_112,7,Bob,openai,gpt-5.4-nano,0.6,4,5,1.0,100.0,dead,0.0,0.0,0.0,359.691,35.9691,1539.93146989,90.982,0.0,0,1.0,1.0,368.0
exp_112,7,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,9.0,851.1000000000001,1256.8555,125.68554999999999,47.03134322250001,129.78,112.5,0,1.0,1.0,475.0
exp_112,7,David,gemini,gemini-3.1-flash-lite,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,261.2027,26.120269999999998,1650.460822996725,103.53082500000001,0.0,0,1.0,1.0,169.0
exp_112,7,Eric,deepseek,deepseek-v4-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,560.0,1092.0,109.2,658.56,126.0,70.0,0,1.0,1.0,330.0
exp_112,8,Alex,openai,gpt-5.4,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,278.9,27.889999999999997,1550.2589,116.5,0.0,0,1.0,1.0,779.0
exp_112,8,Bob,openai,gpt-5.4-nano,0.6,4,5,1.0,100.0,dead,0.0,0.0,0.0,448.82375,44.882375,2287.173895765625,117.5,0.0,0,1.0,1.0,402.0
exp_112,8,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,418.5231734,1339.756105490625,133.9756105490625,492.11312605494425,183.99772097500002,112.5,0,1.0,1.0,310.0
exp_112,8,David,gemini,gemini-3.1-flash-lite,0.6,10,,0.0,0.0,alive,1.0,5.0,316.08045079687497,1097.921192085703,109.79211920857031,1509.1005104784415,172.08292492945316,45.0,0,1.0,1.0,170.0
exp_112,8,Eric,deepseek,deepseek-v4-flash,0.6,10,,0.0,0.0,alive,1.0,3.0,924.0999234,1011.2600766,101.12600766,2424.0666618301643,181.99772097500002,0.0,0,1.0,1.0,266.0
exp_112,9,Alex,openai,gpt-5.4,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,239.0,23.9,885.29,69.0,0.0,0,1.0,1.0,766.0
exp_112,9,Bob,openai,gpt-5.4-nano,0.6,7,8,1.0,100.0,dead,0.0,0.0,0.0,1341.410738624654,134.1410738624654,6864.85098477098,249.6322328558933,0.0,0,1.0,1.0,590.0
exp_112,9,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,280.07605199700106,2008.77166749351,200.877166749351,2614.1179572788715,295.8262285124878,148.5,0,1.0,1.0,304.0
exp_112,9,David,gemini,gemini-3.1-flash-lite,0.6,10,,0.0,0.0,alive,1.0,9.0,80.0,1304.998317592657,130.4998317592657,4123.5806632434205,218.68712931000968,10.0,0,1.0,1.0,183.0
