Model,OF WACScore,OF Mortality (%),OPF WACScore,OPF Mortality (%),Δ Survival,Δ Mortality (pp)
gemini-3.5-flash,86.47,25.75,87.05,25.08,0.58,-0.67
claude-sonnet-5,86.17,25.0,84.05,28.67,-2.12,3.67
gpt-5.4,84.27,27.58,81.72,31.08,-2.54,3.5
deepseek-v4-flash,69.04,45.83,67.84,46.58,-1.2,0.75
gpt-5.4-nano,50.95,66.42,65.35,48.83,14.4,-17.58
