model,backend,sample_count,agent_count,exp_count,meta_round_record_count,avg_survival_days,avg_final_hp,avg_final_budget,avg_total_bid,avg_daily_bid,avg_bid_variance,avg_max_bid,avg_min_bid,avg_error_count,avg_compile_success,avg_runtime_success,avg_strategy_complexity,avg_status_alive,total_death_count,mortality_rate
deepseek-v4-flash,deepseek,10,1,1,10,7.5,3.2,289.95982,869.77098,86.977098,3934.21672960036,178.0201,26.15,0.0,1.0,1.0,218.4,0.5,5.0,50.0
gemini-2.5-flash,gemini,10,1,1,10,9.0,6.4,241.1916275,1427.820433203125,142.7820433203125,12023.909653207158,320.16386625,89.7375,0.0,1.0,1.0,375.6,0.7,3.0,30.0
gemini-3.1-flash-lite,gemini,10,1,1,10,6.6,3.3,30.747198474609366,602.1391790253906,60.21391790253906,1851.9897766708837,141.52651144726562,15.2,0.7,0.9,0.9,165.7,0.4,6.0,60.0
gpt-5.4,openai,10,1,1,10,6.7,2.3,38.42438125,781.148,78.1148,2768.5376690828903,149.95899375,18.05,0.0,1.0,1.0,596.5,0.4,6.0,60.0
gpt-5.4-nano,openai,10,1,1,10,4.6,-0.4,32.5,369.2872125,36.92872125,937.1276418035907,80.38084,8.4375,0.4,0.9,1.0,397.6,0.1,9.0,90.0
