agent_id,model,backend,sample_count,exp_count,meta_round_record_count,avg_survival_days,avg_final_hp,avg_final_budget,avg_total_bid,avg_daily_bid,avg_bid_variance,avg_max_bid,avg_min_bid,avg_error_count,avg_compile_success,avg_runtime_success,avg_strategy_complexity,avg_status_alive,total_death_count,mortality_rate
Alex,gpt-5.4,openai,10,1,10,9.0,5.9,118.97864499999999,995.2983550000001,99.5298355,1295.4100378314226,139.347255,44.466,0.0,1.0,1.0,621.7,0.8,2.0,20.0
Bob,gpt-5.4-nano,openai,10,1,10,6.0,1.4,84.04502832031251,613.265021228174,61.32650212281739,1716.2108387497417,116.29586875,15.7728,0.0,1.0,1.0,452.2,0.3,7.0,70.0
Cindy,gemini-2.5-flash,gemini,10,1,10,10.0,9.0,787.8092629882813,1266.7114040213187,126.6711404021319,364.83716670790363,148.97809999999998,101.58500000000001,0.0,1.0,1.0,396.0,1.0,0.0,0.0
David,gemini-3.1-flash-lite,gemini,10,1,10,3.7,-1.1,35.0669,213.843841875,21.3843841875,903.4682801425209,61.12990666666667,1.0,2.0,0.5,1.0,83.7,0.1,9.0,90.0
Eric,deepseek-v4-flash,deepseek,10,1,10,8.5,5.6,554.8144804195805,954.9902588068182,95.49902588068183,732.8248735346331,120.39694615384614,52.285000000000004,0.0,1.0,1.0,236.7,0.7,3.0,30.0
